message_id,EN,JP,VN
RECRUIT_60_13,,終業,Kết thúc công việc
RECRUIT_70_1,,求める人物像,Đối tượng tuyển dụng
RECRUIT_70_2,,TMH Tech. Labでは、「チャレンジ」、「チームワーク」、「コミットメント」が、個人、そして会社の成長に欠かせない要素である感えています。以下の３つに共感し、尊重することができる方との出会いを心から楽しみにしています。,"Tại TMH Tech. Lab có ba yếu tố không thể thiếu để phát triển bản thân và công ty, đó là ""Sự thử thách"", ""Hoạt động nhóm"" và "" Cam kết"". Chúng tôi vui mừng chào đón những ứng viên cùng tôn trọng và sở hữu ba yếu tố dưới đây."
RECRUIT_70_3,,チャレンジ,Thử thách
RECRUIT_70_4,,"新しいサービスを開発する為の技術・環境は、日々進化しています。そして、これらの進化によって、より高度で複雑な開発が可能になってきました。
TMH Tech. Labでは新しいテクノロジーを積極的に取り入れ、高度な開発にチャレンジしていきます。そのため、失敗を恐れ従来のやり方を踏襲するよりも、積極的に新しい技術を学び、失敗を恐れずにチャレンジすることを尊重します。","Ngày càng có nhiều công nghệ kỹ thuật, môi trường được thay đổi nhằm phát triển loại hình dịch vụ mới. Do đó, việc lập trình trở nên phức tạp và yêu cầu trình độ ở mức cao hơn nữa.
Tại TMH Tech. Lab, chúng tôi luôn thử thách bản thân và tích cực áp dụng các công nghệ kỹ thuật. Vì vậy, ngoài việc duy trì phương pháp vốn có, chúng tôi chủ động tích cực học hỏi kỹ thuật mới và thử thách chúng mà không ngại thất bại."
RECRUIT_70_5,,チームワーク,Hoạt động nhóm
RECRUIT_70_6,,"どんなに小さなプロジェクトでも１人で作ることはありません。
デザイナーやディレクター、エンジニア、そしてたくさんの人や部門と連携することで、新しいアイディアが生み出され、より多くの人に使ってもらえるサービスを作ることができます。TMH Tech. Labでは、仲間を尊重し、信頼し、互いに刺激し合い、助け合うことができる仲間を求めています。","Dù là dự án quy mô nhỏ thế nào đi nữa thỉ chỉ nhờ một người cũng không thể hoàn thành được dự án đó. Chúng ta chỉ có thể tạo ra dịch vụ cho nhiều người dùng, đưa ra những ý tưởng mới bằng sự hợp tác chung sức từ nhiều người, nhiều bộ phận từ nhà thiết kế, quản lý giám sát, kỹ sư lập trình,... Hoạt động nhóm tại TMH Tech. Lab là mọi thành viên cùng tôn trọng, cùng tin tưởng, cùng khích lệ và giúp đỡ nhau."
RECRUIT_70_7,,コミットメント,Cam kết
RECRUIT_70_8,,"TMH Tech. Labは、クライアントやチームからの要求・期待（品質、スケジュールなど）にコミットする責任感とプロフェッショナルとしての意識を持つことを求めます。
会社は学びのフィールドではありません。自らのビジネススキル、エンジニアリングのスキルを能動的に高め、そのパフォーマンスを発揮するフィールドです。
もちろん、私たちはビジネススキル、エンジニアリングスキル、コミュニケーションスキル、の向上をサポートするプログラムを積極的に実施し成長をサポートしていきます。また、みなさんの能力や情熱を思い切り発散できるフィールドを用意することを約束します。
TMH Tech. Labでプロフェッショナルとして共に成長していきまましょう！","TMH Tech. Lab đòi hỏi mọi thành viên phải ý thức được tính trách nhiệm đối với yêu cầu và kỳ vọng từ khách hàng và tổ nhóm (như cam kết về chất lượng, quy trình,...). Công ty không phải là môi trường để học tập mà là nơi để mọi người nâng cao kỹ năng về công việc, về kỹ thuật công nghệ và phát huy thể hiện những kỹ năng đó. Chúng tôi sẽ tích cực hỗ trợ mọi người thực hiện và phát triển kỹ năng của bản thân trong công việc và giao tiếp. Chúng tôi cam kết tạo ra môi trường làm việc để phát huy khả năng và sự nhiệt tình của mọi người.
Hãy cùng tạo dựng môi trường chuyên nghiệp và phát triển TMH Tech. Lab!"
TITLE_1,home,ホーム,Trang chủ
TITLE_2,recruit,採用情報,Tuyển dụng
TITLE_3,product,プロダクト,Sản phẩm
TITLE_5,staff,スタッフ,Nhân viên
TITLE_6,company profile,会社情報,Giới thiệu
TITLE_7,contact us,お問い合わせ,Liên hệ
TITLE_8,access,アクセス,Địa chỉ
